epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
69;15318.9;1.17705;0.68149;1.34371;0.91652;0.87458;0.93488;0.63519;1.15705;0.63484;1.30843;0.003268;0.003268;0.003268
70;15541.3;1.17269;0.67829;1.34186;0.93147;0.85465;0.93383;0.62984;1.15565;0.63522;1.3091;0.003169;0.003169;0.003169
71;15762.6;1.1648;0.66399;1.32269;0.92406;0.86164;0.93019;0.63029;1.16711;0.63276;1.30996;0.00307;0.00307;0.00307
72;15985;1.16573;0.66517;1.32638;0.92855;0.86094;0.93284;0.63159;1.16613;0.63449;1.30897;0.002971;0.002971;0.002971
73;16206.5;1.15998;0.65772;1.31654;0.91018;0.86396;0.93224;0.63257;1.14876;0.62998;1.29555;0.002872;0.002872;0.002872
74;16427.9;1.14717;0.65058;1.31474;0.93542;0.85744;0.9329;0.63474;1.15257;0.62827;1.29726;0.002773;0.002773;0.002773
75;16650.4;1.12946;0.63843;1.30198;0.9307;0.87275;0.93231;0.63583;1.1413;0.62618;1.28553;0.002674;0.002674;0.002674
76;16872.3;1.1384;0.64426;1.29662;0.92739;0.86164;0.93082;0.6367;1.14032;0.62797;1.28818;0.002575;0.002575;0.002575
77;17093.4;1.13179;0.63827;1.29713;0.92852;0.85333;0.92918;0.63538;1.13891;0.62272;1.28674;0.002476;0.002476;0.002476
78;17315.4;1.10754;0.62511;1.28994;0.94254;0.84825;0.92359;0.63211;1.14772;0.62374;1.29641;0.002377;0.002377;0.002377
79;17537.4;1.12288;0.63657;1.30082;0.94004;0.8436;0.92104;0.63025;1.14643;0.61914;1.29698;0.002278;0.002278;0.002278
80;17758.6;1.1053;0.62581;1.28528;0.92605;0.85759;0.93038;0.63819;1.14567;0.6266;1.29676;0.002179;0.002179;0.002179
81;17981.4;1.1114;0.62546;1.27744;0.91802;0.87072;0.93403;0.64138;1.13505;0.6227;1.29262;0.00208;0.00208;0.00208
82;18203.2;1.107;0.62191;1.28132;0.93066;0.85674;0.93187;0.63963;1.14947;0.62623;1.29771;0.001981;0.001981;0.001981
83;18425.1;1.09193;0.61406;1.27174;0.93559;0.85325;0.93101;0.6407;1.14924;0.6321;1.29749;0.001882;0.001882;0.001882
84;18647.4;1.08776;0.60833;1.26549;0.94198;0.85086;0.93273;0.63888;1.15123;0.62979;1.29469;0.001783;0.001783;0.001783
85;18869.9;1.08825;0.60994;1.26728;0.89696;0.88609;0.93576;0.63942;1.15423;0.62511;1.29722;0.001684;0.001684;0.001684
86;19091.7;1.08478;0.60968;1.26542;0.92018;0.87142;0.93508;0.64417;1.15201;0.62822;1.29578;0.001585;0.001585;0.001585
87;19313.4;1.06932;0.60104;1.26287;0.92372;0.87166;0.93677;0.64584;1.14264;0.6221;1.29042;0.001486;0.001486;0.001486
88;19536.3;1.06923;0.59885;1.2554;0.90719;0.88679;0.93574;0.64783;1.14164;0.63128;1.29167;0.001387;0.001387;0.001387
89;19757.8;1.06469;0.59525;1.24958;0.92403;0.86862;0.93407;0.64771;1.13892;0.62256;1.29366;0.001288;0.001288;0.001288
90;19979.8;1.06199;0.59219;1.25073;0.92611;0.86932;0.9346;0.64827;1.13908;0.623;1.29155;0.001189;0.001189;0.001189
91;20202.4;0.99556;0.4834;1.21953;0.92667;0.87428;0.93674;0.64771;1.14092;0.62262;1.29313;0.00109;0.00109;0.00109
92;20423.2;0.98058;0.47722;1.20251;0.92288;0.87805;0.9357;0.64863;1.13579;0.61675;1.28711;0.000991;0.000991;0.000991
93;20644.1;0.9682;0.47102;1.19685;0.93495;0.86379;0.93574;0.64825;1.13271;0.61588;1.28554;0.000892;0.000892;0.000892
94;20865.7;0.95909;0.46624;1.193;0.92027;0.87701;0.93412;0.64718;1.13363;0.61655;1.28836;0.000793;0.000793;0.000793
95;21086.1;0.94404;0.45836;1.18541;0.92495;0.87491;0.93427;0.65049;1.13146;0.6124;1.28797;0.000694;0.000694;0.000694
96;21305.6;0.94299;0.45344;1.18215;0.91817;0.88607;0.93525;0.65144;1.13124;0.61186;1.28745;0.000595;0.000595;0.000595
97;21525.6;0.93042;0.45199;1.16996;0.92402;0.8754;0.9352;0.65296;1.12887;0.61172;1.28771;0.000496;0.000496;0.000496
98;21747.3;0.93269;0.45237;1.17366;0.92533;0.87212;0.93567;0.6538;1.12784;0.61243;1.28851;0.000397;0.000397;0.000397
99;21969.1;0.91345;0.44337;1.15771;0.92671;0.87002;0.93557;0.65342;1.13149;0.61303;1.29152;0.000298;0.000298;0.000298
100;22190.3;0.91488;0.44627;1.16281;0.92842;0.86932;0.93452;0.65346;1.13194;0.61109;1.29319;0.000199;0.000199;0.000199
